timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5
2023-02-03 11:05:41,45760.00,49072.00,49680.00,49088.00,48208.00
2023-02-03 11:05:48,45712.00,49072.00,49584.00,49088.00,48144.00
2023-02-03 11:05:56,45792.00,49056.00,49568.00,49104.00,48192.00
2023-02-03 11:06:03,45824.00,49104.00,49552.00,49120.00,48304.00
2023-02-03 11:06:10,45744.00,49040.00,49632.00,49056.00,48208.00
2023-02-03 11:06:18,45808.00,49072.00,49616.00,49184.00,48256.00
2023-02-03 11:06:25,45776.00,49136.00,49600.00,49104.00,48240.00
2023-02-03 11:06:32,45696.00,49104.00,49632.00,49088.00,48240.00
2023-02-03 11:06:40,45744.00,49088.00,49632.00,49120.00,48288.00
2023-02-03 11:06:47,45680.00,49152.00,49552.00,49072.00,48160.00
2023-02-03 11:06:54,45552.00,49072.00,49616.00,49072.00,48208.00
2023-02-03 11:07:02,45664.00,49120.00,49712.00,49264.00,48208.00
2023-02-03 11:07:09,45744.00,49024.00,49632.00,49136.00,48192.00
2023-02-03 11:07:16,43200.00,49072.00,49584.00,49040.00,48112.00
2023-02-03 11:07:24,42944.00,49056.00,49568.00,48992.00,48080.00
2023-02-03 11:07:31,48208.00,49216.00,49632.00,48912.00,48016.00
2023-02-03 11:07:38,45152.00,48960.00,49600.00,49072.00,48144.00
2023-02-03 11:07:45,44992.00,48864.00,49712.00,48960.00,48208.00
2023-02-03 11:07:53,44864.00,48912.00,49680.00,49088.00,48112.00
2023-02-03 11:08:00,44912.00,48528.00,49664.00,49104.00,48192.00
2023-02-03 11:08:07,44704.00,48976.00,49632.00,49088.00,48064.00
2023-02-03 11:08:15,44736.00,48832.00,49728.00,50944.00,49952.00
2023-02-03 11:08:22,44752.00,48720.00,49520.00,50624.00,49200.00
2023-02-03 11:08:29,44672.00,48656.00,49648.00,49264.00,48512.00
2023-02-03 11:08:37,44128.00,48576.00,49344.00,48944.00,48400.00
2023-02-03 11:08:44,44208.00,48320.00,49312.00,48880.00,48208.00
2023-02-03 11:08:51,44160.00,48416.00,49264.00,48720.00,48080.00
2023-02-03 11:08:59,44048.00,48304.00,49328.00,48880.00,47984.00
2023-02-03 11:09:06,44096.00,48272.00,49328.00,48816.00,47952.00
2023-02-03 11:09:13,44000.00,48272.00,49312.00,48832.00,47904.00
2023-02-03 11:09:21,43904.00,48256.00,49408.00,48928.00,47920.00
2023-02-03 11:09:28,43952.00,48288.00,49328.00,48128.00,47232.00
2023-02-03 11:09:35,43904.00,48304.00,49312.00,48624.00,47184.00
2023-02-03 11:09:43,43952.00,48208.00,49312.00,48624.00,47312.00
2023-02-03 11:09:50,43824.00,48304.00,49344.00,48624.00,47136.00
2023-02-03 11:09:57,43888.00,48320.00,49328.00,48672.00,47136.00
2023-02-03 11:10:04,43872.00,48272.00,49280.00,48720.00,47104.00
2023-02-03 11:10:12,43808.00,48240.00,49280.00,48816.00,47088.00
2023-02-03 11:10:19,43824.00,48144.00,49280.00,48720.00,47168.00
2023-02-03 11:10:26,43728.00,48272.00,49296.00,48640.00,47168.00
2023-02-03 11:10:34,43760.00,48272.00,49280.00,48688.00,47088.00
2023-02-03 11:10:41,43696.00,48208.00,49280.00,48656.00,47104.00
2023-02-03 11:10:48,43744.00,48304.00,49312.00,48672.00,47088.00
